kor_co_nm,fin_prdt_nm,join_way,pnsn_kind_nm,prdt_type_nm,dcls_rate,guar_rate,btrm_prft_rate_1,btrm_prft_rate_2,btrm_prft_rate_3,etc,pnsn_recp_trm_nm,pnsn_entr_age_nm,mon_paym_atm_nm,paym_prd_nm,pnsn_strt_age_nm,etc_available,etc_clean,search_text
우리자산운용 주식회사,우리파워연금증권전환형투자신탁1호(채권)ClassC,영업점,연금저축펀드,채권형,,,1.05,4.47,2.28,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 우리파워연금증권전환형투자신탁1호(채권)ClassC
금융회사: 우리자산운용 주식회사
연금종류: 연금저축펀드
상품유형: 채권형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 1.05%
과거수익률2년: 4.47%
과거수익률3년: 2.28%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
케이씨지아이자산운용 주식회사,메리츠코리아증권투자신탁1호[주식]종류C-Pe,영업점,연금저축펀드,주식형,,,10.0,-15.63,17.59,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 메리츠코리아증권투자신탁1호[주식]종류C-Pe
금융회사: 케이씨지아이자산운용 주식회사
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 10.0%
과거수익률2년: -15.63%
과거수익률3년: 17.59%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
삼성자산운용,삼성클래식인덱스연금증권전환형투자신탁 제1호[주식]_C,"영업점,인터넷,스마트폰,모집인",연금저축펀드,주식형,,,12.11,-17.34,24.74,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 삼성클래식인덱스연금증권전환형투자신탁 제1호[주식]_C
금융회사: 삼성자산운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 12.11%
과거수익률2년: -17.34%
과거수익률3년: 24.74%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인"
미래에셋자산운용,미래에셋인덱스플러스연금증권전환형자투자신탁1호(주식) 종류C,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,주식형,,,13.38,-18.53,25.44,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 미래에셋인덱스플러스연금증권전환형자투자신탁1호(주식) 종류C
금융회사: 미래에셋자산운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 13.38%
과거수익률2년: -18.53%
과거수익률3년: 25.44%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
미래에셋자산운용,미래에셋자산배분TDF2045증권자투자신탁(주식혼합- 재간접형)종류C-P,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,재간접형,,,20.32,-14.79,14.12,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 미래에셋자산배분TDF2045증권자투자신탁(주식혼합- 재간접형)종류C-P
금융회사: 미래에셋자산운용
연금종류: 연금저축펀드
상품유형: 재간접형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 20.32%
과거수익률2년: -14.79%
과거수익률3년: 14.12%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
미래에셋자산운용,미래에셋평생소득TIF혼합자산자투자신탁종류C-Pe,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,혼합자산,,,12.79,-4.48,3.82,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 미래에셋평생소득TIF혼합자산자투자신탁종류C-Pe
금융회사: 미래에셋자산운용
연금종류: 연금저축펀드
상품유형: 혼합자산
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 12.79%
과거수익률2년: -4.48%
과거수익률3년: 3.82%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
엔에이치아문디자산운용주식회사,NH-Amundi 대한민국 고배당주 연금 증권 전환형 자투자신탁[주식]C-P1,영업점,연금저축펀드,주식형,,,9.99,-17.38,24.03,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: NH-Amundi 대한민국 고배당주 연금 증권 전환형 자투자신탁[주식]C-P1
금융회사: 엔에이치아문디자산운용주식회사
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 9.99%
과거수익률2년: -17.38%
과거수익률3년: 24.03%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
삼성자산운용,삼성 한국형 TDF 2025 증권투자신탁H[주식혼합-재간접형]_C-P,"영업점,인터넷,스마트폰,모집인",연금저축펀드,재간접형,,,12.82,-5.26,10.33,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 삼성 한국형 TDF 2025 증권투자신탁H[주식혼합-재간접형]_C-P
금융회사: 삼성자산운용
연금종류: 연금저축펀드
상품유형: 재간접형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 12.82%
과거수익률2년: -5.26%
과거수익률3년: 10.33%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인"
삼성자산운용,삼성 한국형 TDF 2020 증권투자신탁H[채권혼합-재간접형]_C-Pe,"영업점,인터넷,스마트폰,모집인",연금저축펀드,재간접형,,,11.47,-4.03,2.22,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 삼성 한국형 TDF 2020 증권투자신탁H[채권혼합-재간접형]_C-Pe
금융회사: 삼성자산운용
연금종류: 연금저축펀드
상품유형: 재간접형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 11.47%
과거수익률2년: -4.03%
과거수익률3년: 2.22%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인"
미래에셋자산운용,미래에셋자산배분TDF2040증권자투자신탁1호(주식혼합-재간접형)종류C-P,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,재간접형,,,20.7,-12.63,13.65,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 미래에셋자산배분TDF2040증권자투자신탁1호(주식혼합-재간접형)종류C-P
금융회사: 미래에셋자산운용
연금종류: 연금저축펀드
상품유형: 재간접형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 20.7%
과거수익률2년: -12.63%
과거수익률3년: 13.65%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
엔에이치아문디자산운용주식회사,NH-Amundi 국채10년 인덱스 증권자투자신탁[채권]Class C-P1e(연금저축),영업점,연금저축펀드,채권형,,,2.95,9.05,4.7,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: NH-Amundi 국채10년 인덱스 증권자투자신탁[채권]Class C-P1e(연금저축)
금융회사: 엔에이치아문디자산운용주식회사
연금종류: 연금저축펀드
상품유형: 채권형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 2.95%
과거수익률2년: 9.05%
과거수익률3년: 4.7%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
에셋플러스자산운용,에셋플러스 코리아리치투게더 연금증권자투자신탁1호[주식] 종류C,영업점,연금저축펀드,주식형,,,2.1,-18.98,18.7,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 에셋플러스 코리아리치투게더 연금증권자투자신탁1호[주식] 종류C
금융회사: 에셋플러스자산운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 2.1%
과거수익률2년: -18.98%
과거수익률3년: 18.7%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
한화자산운용,한화연금증권전환형투자신탁(국공채) 종류C,영업점,연금저축펀드,채권형,,,3.34,4.49,-0.55,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 한화연금증권전환형투자신탁(국공채) 종류C
금융회사: 한화자산운용
연금종류: 연금저축펀드
상품유형: 채권형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 3.34%
과거수익률2년: 4.49%
과거수익률3년: -0.55%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
미래에셋자산운용,미래에셋평생소득TIF혼합자산자투자신탁종류C-P,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,혼합자산,,,12.52,-4.72,3.64,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 미래에셋평생소득TIF혼합자산자투자신탁종류C-P
금융회사: 미래에셋자산운용
연금종류: 연금저축펀드
상품유형: 혼합자산
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 12.52%
과거수익률2년: -4.72%
과거수익률3년: 3.64%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
미래에셋자산운용,미래에셋라이프사이클7090연금증권전환형자투자신탁1호(채권) 종류C,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,채권형,,,3.13,4.08,0.07,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 미래에셋라이프사이클7090연금증권전환형자투자신탁1호(채권) 종류C
금융회사: 미래에셋자산운용
연금종류: 연금저축펀드
상품유형: 채권형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 3.13%
과거수익률2년: 4.08%
과거수익률3년: 0.07%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
다올자산운용 주식회사,KTB코넥스하이일드증권투자신탁[채권혼합] 종류C-P,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,혼합채권형,,,0.22,0.89,0.0,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: KTB코넥스하이일드증권투자신탁[채권혼합] 종류C-P
금융회사: 다올자산운용 주식회사
연금종류: 연금저축펀드
상품유형: 혼합채권형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 0.22%
과거수익률2년: 0.89%
과거수익률3년: 0.0%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
한화자산운용,한화연금증권전환형투자신탁(채권) 종류C,영업점,연금저축펀드,채권형,,,3.0,3.55,-0.2,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 한화연금증권전환형투자신탁(채권) 종류C
금융회사: 한화자산운용
연금종류: 연금저축펀드
상품유형: 채권형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 3.0%
과거수익률2년: 3.55%
과거수익률3년: -0.2%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
삼성자산운용,삼성 한국형 TDF 2020 증권투자신탁H[채권혼합-재간접형]_C-P,"영업점,인터넷,스마트폰,모집인",연금저축펀드,재간접형,,,11.21,-4.26,8.0,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 삼성 한국형 TDF 2020 증권투자신탁H[채권혼합-재간접형]_C-P
금융회사: 삼성자산운용
연금종류: 연금저축펀드
상품유형: 재간접형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 11.21%
과거수익률2년: -4.26%
과거수익률3년: 8.0%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인"
신한자산운용주식회사,신한BNPP마음편한TDF2025증권투자신탁[주식혼합-재간접형](종류C-p),영업점,연금저축펀드,재간접형,,,11.61,-6.51,1.27,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 신한BNPP마음편한TDF2025증권투자신탁[주식혼합-재간접형](종류C-p)
금융회사: 신한자산운용주식회사
연금종류: 연금저축펀드
상품유형: 재간접형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 11.61%
과거수익률2년: -6.51%
과거수익률3년: 1.27%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
삼성자산운용,삼성클래식아세안연금증권전환형자투자신탁 제1호[주식]_C,"영업점,인터넷,스마트폰,모집인",연금저축펀드,주식형,,,5.72,-12.26,14.24,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 삼성클래식아세안연금증권전환형자투자신탁 제1호[주식]_C
금융회사: 삼성자산운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 5.72%
과거수익률2년: -12.26%
과거수익률3년: 14.24%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인"
슈로더투자신탁운용,슈로더이머징위너스증권자투자신탁(주식혼합-재간접형)종류C-P,"영업점,인터넷",연금저축펀드,재간접형,,,26.51,-20.1,22.04,10,10년 확정,30세,"100,000원",10년,60세,True,10,"상품명: 슈로더이머징위너스증권자투자신탁(주식혼합-재간접형)종류C-P
금융회사: 슈로더투자신탁운용
연금종류: 연금저축펀드
상품유형: 재간접형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 26.51%
과거수익률2년: -20.1%
과거수익률3년: 22.04%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷"
우리자산운용 주식회사,우리파워연금액티브증권전환형투자신탁1호(주식)ClassC,영업점,연금저축펀드,주식형,,,15.66,-10.02,-3.93,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 우리파워연금액티브증권전환형투자신탁1호(주식)ClassC
금융회사: 우리자산운용 주식회사
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 15.66%
과거수익률2년: -10.02%
과거수익률3년: -3.93%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
삼성자산운용,삼성 한국형 TDF 2015 증권투자신탁H[채권혼합-재간접형]_C-P,"영업점,인터넷,스마트폰,모집인",연금저축펀드,재간접형,,,10.06,-3.7,6.91,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 삼성 한국형 TDF 2015 증권투자신탁H[채권혼합-재간접형]_C-P
금융회사: 삼성자산운용
연금종류: 연금저축펀드
상품유형: 재간접형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 10.06%
과거수익률2년: -3.7%
과거수익률3년: 6.91%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인"
엔에이치아문디자산운용주식회사,NH-Amundi 스마트인베스터 5.0 분할매수 증권투자신탁[주식혼합-재간접형]Class C-P1(연금저축),영업점,연금저축펀드,재간접형,,,10.95,-13.96,10.73,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: NH-Amundi 스마트인베스터 5.0 분할매수 증권투자신탁[주식혼합-재간접형]Class C-P1(연금저축)
금융회사: 엔에이치아문디자산운용주식회사
연금종류: 연금저축펀드
상품유형: 재간접형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 10.95%
과거수익률2년: -13.96%
과거수익률3년: 10.73%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
한국투자신탁운용,한국투자SSGA글로벌저변동성증권자투자신탁H(주식)(C-P),영업점,연금저축펀드,주식형,,,16.71,-4.1,8.34,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 한국투자SSGA글로벌저변동성증권자투자신탁H(주식)(C-P)
금융회사: 한국투자신탁운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 16.71%
과거수익률2년: -4.1%
과거수익률3년: 8.34%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
피델리티자산운용,피델리티연금아시아하이일드증권전환형자투자신탁(채권-재간접형)종류C,영업점,연금저축펀드,재간접형,,,9.65,-5.82,5.68,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 피델리티연금아시아하이일드증권전환형자투자신탁(채권-재간접형)종류C
금융회사: 피델리티자산운용
연금종류: 연금저축펀드
상품유형: 재간접형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 9.65%
과거수익률2년: -5.82%
과거수익률3년: 5.68%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
아이엠에셋자산운용,DGB 공모주플러스 증권투자신탁1호(채권혼합)C-P2e,영업점,연금저축펀드,혼합채권형,,,0.92,3.01,6.16,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: DGB 공모주플러스 증권투자신탁1호(채권혼합)C-P2e
금융회사: 아이엠에셋자산운용
연금종류: 연금저축펀드
상품유형: 혼합채권형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 0.92%
과거수익률2년: 3.01%
과거수익률3년: 6.16%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
미래에셋자산운용,미래에셋하나1Q연금증권자투자신탁1호(주식혼합-재간접형)종류C,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,재간접형,,,11.68,-10.06,9.65,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 미래에셋하나1Q연금증권자투자신탁1호(주식혼합-재간접형)종류C
금융회사: 미래에셋자산운용
연금종류: 연금저축펀드
상품유형: 재간접형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 11.68%
과거수익률2년: -10.06%
과거수익률3년: 9.65%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
하나자산운용,하나UBS 글로벌인프라 증권 자투자신탁[주식] 종류C-P,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,주식형,,,27.67,-8.21,7.1,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 하나UBS 글로벌인프라 증권 자투자신탁[주식] 종류C-P
금융회사: 하나자산운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 27.67%
과거수익률2년: -8.21%
과거수익률3년: 7.1%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
미래에셋자산운용,미래에셋베트남증권자투자신탁1호(UH)(주식)종류C-Pe,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,주식형,,,9.13,-8.16,37.51,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 미래에셋베트남증권자투자신탁1호(UH)(주식)종류C-Pe
금융회사: 미래에셋자산운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 9.13%
과거수익률2년: -8.16%
과거수익률3년: 37.51%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
삼성자산운용,삼성당신을위한신연금ACTIVE증권전환형자투자신탁 제1호[주식],"영업점,인터넷,스마트폰,모집인",연금저축펀드,주식형,,,7.71,-15.6,20.31,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 삼성당신을위한신연금ACTIVE증권전환형자투자신탁 제1호[주식]
금융회사: 삼성자산운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 7.71%
과거수익률2년: -15.6%
과거수익률3년: 20.31%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인"
우리자산운용 주식회사,우리파워연금액티브60증권전환형투자신탁1호(주식혼합)ClassC,영업점,연금저축펀드,혼합주식형,,,10.76,-5.23,-2.67,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 우리파워연금액티브60증권전환형투자신탁1호(주식혼합)ClassC
금융회사: 우리자산운용 주식회사
연금종류: 연금저축펀드
상품유형: 혼합주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 10.76%
과거수익률2년: -5.23%
과거수익률3년: -2.67%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
미래에셋자산운용,미래에셋글로벌다이나믹연금증권전환형자투자신탁1호(채권)종류C,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,채권형,,,7.52,-1.08,2.82,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 미래에셋글로벌다이나믹연금증권전환형자투자신탁1호(채권)종류C
금융회사: 미래에셋자산운용
연금종류: 연금저축펀드
상품유형: 채권형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 7.52%
과거수익률2년: -1.08%
과거수익률3년: 2.82%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
키움투자자산운용,키움공모주스마트채움플러스증권투자신탁제1호[채권혼합]C-P,영업점,연금저축펀드,혼합채권형,,,4.15,0.24,3.0,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 키움공모주스마트채움플러스증권투자신탁제1호[채권혼합]C-P
금융회사: 키움투자자산운용
연금종류: 연금저축펀드
상품유형: 혼합채권형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 4.15%
과거수익률2년: 0.24%
과거수익률3년: 3.0%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
엔에이치아문디자산운용주식회사,NH-Amundi 대한민국 업종대표주 연금 증권 전환형 자투자신탁[주식]C-P1,영업점,연금저축펀드,주식형,,,9.23,-19.02,26.05,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: NH-Amundi 대한민국 업종대표주 연금 증권 전환형 자투자신탁[주식]C-P1
금융회사: 엔에이치아문디자산운용주식회사
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 9.23%
과거수익률2년: -19.02%
과거수익률3년: 26.05%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
마이다스에셋자산운용,마이다스 월드 In Best 연금 증권 자투자신탁 (주식-재간접형)C1,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,재간접형,,,16.67,-22.73,9.07,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 마이다스 월드 In Best 연금 증권 자투자신탁 (주식-재간접형)C1
금융회사: 마이다스에셋자산운용
연금종류: 연금저축펀드
상품유형: 재간접형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 16.67%
과거수익률2년: -22.73%
과거수익률3년: 9.07%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
트러스톤자산운용,트러스톤제갈공명연금저축증권자투자신탁[주식]C클래스,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)",연금저축펀드,주식형,,,10.18,-14.84,22.85,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 트러스톤제갈공명연금저축증권자투자신탁[주식]C클래스
금융회사: 트러스톤자산운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 10.18%
과거수익률2년: -14.84%
과거수익률3년: 22.85%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹)"
삼성자산운용,삼성클래식연금증권전환형자투자신탁 제1호[주식]_C,"영업점,인터넷,스마트폰,모집인",연금저축펀드,주식형,,,7.88,-16.32,20.93,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 삼성클래식연금증권전환형자투자신탁 제1호[주식]_C
금융회사: 삼성자산운용
연금종류: 연금저축펀드
상품유형: 주식형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 7.88%
과거수익률2년: -16.32%
과거수익률3년: 20.93%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점,인터넷,스마트폰,모집인"
엔에이치아문디자산운용주식회사,NH-Amundi 모아모아30 증권투자신탁[채권혼합]ClassC-P1(연금저축),영업점,연금저축펀드,혼합채권형,,,3.93,-2.99,7.57,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: NH-Amundi 모아모아30 증권투자신탁[채권혼합]ClassC-P1(연금저축)
금융회사: 엔에이치아문디자산운용주식회사
연금종류: 연금저축펀드
상품유형: 혼합채권형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 3.93%
과거수익률2년: -2.99%
과거수익률3년: 7.57%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
신한자산운용주식회사,신한BNPPH2O글로벌본드증권투자신탁(H)[채권혼합-파생재간접형](종류C-p),영업점,연금저축펀드,재간접파생형,,,12.96,16.08,0.0,,10년 확정,30세,"100,000원",10년,60세,False,,"상품명: 신한BNPPH2O글로벌본드증권투자신탁(H)[채권혼합-파생재간접형](종류C-p)
금융회사: 신한자산운용주식회사
연금종류: 연금저축펀드
상품유형: 재간접파생형
공시이율: nan%
최저보증이율: nan%
과거수익률1년: 12.96%
과거수익률2년: 16.08%
과거수익률3년: 0.0%
연금수령기간: 10년 확정
가입연령: 30세
월납입금액: 100,000원
납입기간: 10년
연금개시연령: 60세
가입방법: 영업점"
